ingredients,labels
"INGREDIENTS: WATER, ORGANIC YELLOW CORN FLOUR, SALT, TARTARIC ACID.","WATER, ORGANIC YELLOW CORN FLOUR, SALT, TARTARIC ACID"
"CULTURED CREAM, SKIM MILK, WHEY, CHIVES, SALT, MODIFIED CORN STARCH, CULTURED DEXTROSE, GELATIN, SODIUM PHOSPHATE, GUAR GUM, CARRAGEENAN, SODIUM CITRATE, CALCIUM SULFATE AND LOCUST BEAN GUM.","CULTURED CREAM, SKIM MILK, WHEY, CHIVES, SALT, MODIFIED CORN STARCH, CULTURED DEXTROSE, GELATIN, SODIUM PHOSPHATE, GUAR GUM, CARRAGEENAN, SODIUM CITRATE, CALCIUM SULFATE,LOCUST BEAN GUM"
"CUCUMBERS, WATER, VINEGAR, SALT, MUSTARD SEEDS, ONION FLAKES, CELERY SEEDS, CALCIUM CHLORIDE (FIRMING AGENT), SODIUM BENZOATE (PRESERVATIVE), SUCRALOSE (SPLENDA BRAND), XANTHAN GUM, AND YELLOW 5.","CUCUMBERS, WATER, VINEGAR, SALT, MUSTARD SEEDS, ONION FLAKES, CELERY SEEDS, CALCIUM CHLORIDE, SODIUM BENZOATE, SUCRALOSE, XANTHAN GUM, YELLOW 5"
"WATER, SUGAR, PEANUT BUTTER (PEANUTS, SUGAR, HYDROGENATED SOYBEAN OIL, SALT), SOY SAUCE [WATER, WHEAT, SOYBEANS, SALT, SODIUM BENZOATE (PRESERVATIVE)], RICE VINEGAR (WATER, RICE), SESAME OIL, HONEY, PEANUTS, GINGER, GARLIC, DISTILLED VINEGAR, LEMON JUICE CONCENTRATE, PEANUT OIL, SPICES, MODIFIED CORN STARCH, DEHYDRATED GARLIC, SALT, NATURAL FLAVOR, DEHYDRATED ONION, POTASSIUM SORBATE (PRESERVATIVE), XANTHAN GUM, CITRIC ACID.","WATER, SUGAR, PEANUTS, SUGAR, HYDROGENATED SOYBEAN OIL, SALT, WATER, WHEAT, SOYBEANS, SALT, SODIUM BENZOATE, WATER, RICE, SESAME OIL, HONEY, PEANUTS, GINGER, GARLIC, DISTILLED VINEGAR, LEMON JUICE CONCENTRATE, PEANUT OIL, SPICES, MODIFIED CORN STARCH, DEHYDRATED GARLIC, SALT, NATURAL FLAVOR, DEHYDRATED ONION, POTASSIUM SORBATE, XANTHAN GUM, CITRIC ACID"
"CORN, VINEGAR, WATER, SUGAR, SALT.","CORN, VINEGAR, WATER, SUGAR, SALT"
"WATER LILY SEEDS, PALM OIL, HIMALAYAN PINK SALT","WATER LILY SEEDS, PALM OIL, HIMALAYAN PINK SALT"
COOKED ORGANIC WHITE JASMINE RICE.,COOKED ORGANIC WHITE JASMINE RICE
"APPLES, PEARS.","APPLES, PEARS"
"SUGAR, CORN SYRUP, ARTIFICIAL FLAVOR, CITRIC ACID, ARTIFICIAL COLORS RED 40, YELLOW 5, YELLOW 6, BLUE 1.","SUGAR, CORN SYRUP, ARTIFICIAL FLAVOR, CITRIC ACID, RED 40, YELLOW 5, YELLOW 6, BLUE 1"
"SALT, FOOD STARCH-MODIFIED, SPICES, SUGAR, ANCHO PEPPER, GARLIC POWDER, ONION POWDER, YEAST EXTRACT, CONTAINS LESS THAN 2% OF: PAPRIKA, NATURAL FLAVORS, VINEGAR, TORULA YEAST","SALT, FOOD STARCH-MODIFIED, SPICES, SUGAR, ANCHO PEPPER, GARLIC POWDER, ONION POWDER, YEAST EXTRACT, PAPRIKA, NATURAL FLAVORS, VINEGAR, TORULA YEAST"
"COTTAGE CHEESE (WHOLE MILK, CREAM, CULTURES), SUGAR, WHEY PROTEIN CONCENTRATE, BUTTER, GREEK YOGURT (CULTURED, PASTEURIZED MILK), REDUCED FAT COCOA POWDER, NATURAL FLAVORING.","WHOLE MILK, CREAM, CULTURES, SUGAR, WHEY PROTEIN CONCENTRATE, BUTTER, CULTURED, PASTEURIZED MILK, REDUCED FAT COCOA POWDER, NATURAL FLAVORING"
"WATER, SOYBEAN OIL, VINEGAR, FOOD STARCH-MODIFIED, SUGAR, WHOLE EGGS, CONTAINS 2% OR LESS OF: SALT, ENZYME MODIFIED EGG YOLK, SPICE, WITH CALCIUM DISODIUM EDTA AND POTASSIUM SORBATE (TO PROTECT FLAVOR), NATURAL FLAVOR, PAPRIKA. ","WATER, SOYBEAN OIL, VINEGAR, FOOD STARCH-MODIFIED, SUGAR, WHOLE EGGS, SALT, ENZYME MODIFIED EGG YOLK, SPICE, WITH CALCIUM DISODIUM EDTA,POTASSIUM SORBATE, NATURAL FLAVOR, PAPRIKA"
"GRADE A REDUCED FAT MILK, SUGAR, COCOA PROCESSED WITH ALKALI, CORN STARCH, COCOA, SALT, CARRAGEENAN, GUAR GUM NATURAL AND ARTIFICIAL FLAVOR, VITAMIN A PALMITATE AND VITAMIN D3 ADDED.","GRADE A REDUCED FAT MILK, SUGAR, COCOA PROCESSED WITH ALKALI, CORN STARCH, COCOA, SALT, CARRAGEENAN, GUAR GUM NATURAL, ARTIFICIAL FLAVOR, VITAMIN A PALMITATE, VITAMIN D3"
"RICE CRACKERS (GLUTINOUS RICE, SOY SAUCE [SOYBEANS, WHEAT, SALT, SUGAR], SUGAR, SESAME SEEDS, SEAWEED, CHILI, YELLOW 5, YELLOW 6), WASABI GREEN PEAS (GREEN PEAS, CORN STARCH, PALM OIL, SUGAR, SALT, WASABI [MUSTARD POWDER], YELLOW 5, BLUE 1), SESAME STICKS (UNBLEACHED WHEAT FLOUR [CONTAINS MALTED BARLEY FLOUR AS AN ENZYME ADDITIVE], SOYBEAN OIL, SESAME SEEDS, BULGUR WHEAT, SALT, BEET POWDER [COLOR], TURMERIC [COLOR]), PEANUTS, CASHEWS, ALMONDS, CONTAINS LESS THAN 2% OF: SALT, SPICES, ONION POWDER, GARLIC POWDER, PAPRIKA, PARSLEY, OLEORESIN PAPRIKA, PEANUT OIL, SOY OIL.","GLUTINOUS RICE, SOYBEANS, WHEAT, SALT, SUGAR, SUGAR, SESAME SEEDS, SEAWEED, CHILI, YELLOW 5, YELLOW 6, GREEN PEAS, CORN STARCH, PALM OIL, SUGAR, SALT, MUSTARD POWDER, YELLOW 5, BLUE 1,  MALTED BARLEY FLOUR , SOYBEAN OIL, SESAME SEEDS, BULGUR WHEAT, SALT, BEET POWDER, TURMERIC, PEANUTS, CASHEWS, ALMONDS,  SALT, SPICES, ONION POWDER, GARLIC POWDER, PAPRIKA, PARSLEY, OLEORESIN PAPRIKA, PEANUT OIL, SOY OIL"
"CRUST: WHOLE GRAIN OATS, ENRICHED FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, VITAMIN B [THIAMIN MONONITRATE], VITAMIN B2 (RIBOFLAVIN), FOLIC ACID), WHOLE WHEAT FLOUR, SOYBEAN OIL, SUGAR, DEXTROSE, FRUCTOSE, CALCIUM CARBONATE, VEGETABLE GLYCERIN, INVERT SUGAR, WHEY, SOLUBLE CORN FIBER, SALT, CELLULOSE, NATURAL FLAVOR, POTASSIUM BICARBONATE, VITAMIN AND MINERAL BLEND (SALT, NIACINAMIDE, REDUCED IRON, ZINC OXIDE, VITAMIN A PALMITATE, VITAMIN B THIAMIN HYDROCHLORIDE], VITAMIN BE [PYRIDOXINE HYDROCHLORIDE, VITAMIN B2 (RIBOFLAVIN), WHEAT BRAN, MONO- AND DIGLYCERIDES, SOY LECITHIN, WHEAT GLUTEN, CARRAGEENAN, GUAR GUM, FILLING: INVERT SUGAR, VEGETABLE GLYCERIN, CORN SYRUP, SUGAR, APPLE PUREE CONCENTRATE, CARROT PUREE, MODIFIED FOOD STARCH, SODIUM ALGINATE, SODIUM CITRATE, NATURAL FLAVOR, METHYLCELLULOSE, CINNAMON, DICALCIUM PHOSPHATE, LEMON JUICE CONCENTRATE, CITRIC ACID.",
